number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status,outcome
1,1,2,5,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,88,0,10/2/2015,Not_Canceled,0
1,0,1,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,11/6/2018,Not_Canceled,0
2,1,1,3,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,50,0,2/28/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100,1,5/20/2017,Canceled,1
1,0,1,2,Not Selected,0,Room_Type 1,48,Online,0,0,0,77,0,4/11/2018,Canceled,1
1,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,100,1,9/13/2016,Canceled,1
1,1,1,4,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,107.55,1,10/15/2017,Not_Canceled,0
3,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,12/26/2018,Not_Canceled,0
1,1,0,4,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,96.9,1,7/6/2018,Not_Canceled,0
2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,10/18/2018,Not_Canceled,0
1,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,85.03,0,9/11/2018,Not_Canceled,0
1,0,2,1,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,140.4,1,4/30/2018,Not_Canceled,0
2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88,0,11/26/2018,Canceled,1
1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90,2,11/20/2018,Canceled,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,10/20/2017,Not_Canceled,0
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115,1,6/15/2018,Canceled,1
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96,0,10/5/2017,Not_Canceled,0
2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96,1,8/10/2017,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65,0,10/30/2017,Canceled,1
2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72,0,10/4/2017,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65,0,10/30/2017,Canceled,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67,0,11/25/2018,Not_Canceled,0
2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85,0,3/20/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105,0,10/13/2018,Not_Canceled,0
2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,5/22/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,4/28/2018,Not_Canceled,0
2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65,0,9/21/2017,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110,0,5/19/2018,Canceled,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,11/6/2017,Canceled,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82,0,9/17/2017,Not_Canceled,0
2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,9/19/2017,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,11/13/2018,Not_Canceled,0
0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,12/7/2018,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,1/9/2018,Not_Canceled,0
